p1,p2,p3,p4,p5,p6,p7,c1,c2,c3,c4,c5
191,92,f8u1xO6KS7,1,142,234,QbEqms486D,False,False,True,True,False
66,106,dojrVRmLEl,0,142,33,dG3Xtb02Mz,False,False,False,True,False
278,43,lfS2ug03rj,0,34,252,zwRYWn9QD5,True,False,False,True,False
284,180,0lSvjO3nL1,0,244,165,4O1VmSUPXM,False,True,False,True,False
289,171,aPTsKyo0IB,0,74,269,xelyXKmPQI,True,False,True,True,False
28,97,fkWtVrRvoe,1,177,277,km6oJrslq2,False,False,True,True,False
180,51,2fa3OJ6tzp,0,203,267,jPCWsD6e0h,False,True,False,True,False
92,1,5t0M9dqVsU,1,263,139,1xHWmGlN2O,False,True,True,False,False
94,280,LnQC8hflu2,1,187,21,6JFLHd8cij,False,False,True,True,False
49,234,E9Ti1Igh3m,0,289,181,FdGcSVZUYn,False,True,False,True,False
246,155,Ud7vFJraAf,0,135,272,8gKamXJNBE,True,False,False,True,False
187,292,82gQDaesbd,0,30,199,NFsg5UtWkr,False,False,False,True,False
81,279,c5uLisTzmZ,1,192,85,jMAGNvfRJy,False,False,True,True,False
228,72,27RubF5iOh,1,83,235,VE7DMwr2LK,False,False,True,True,False
145,228,y8ga7935V2,1,257,121,GDX3mZ7FbB,False,True,True,True,False
226,176,UdeDPHV8Xb,0,25,60,IqaLdQcnS5,False,False,False,True,False
93,168,Q5GBDo34gV,1,268,285,dXw463DxbH,False,True,True,True,False
275,252,QZkvIys09d,1,200,45,5SdikO2fy8,False,False,True,True,False
233,211,CTXnw9ybJ7,0,293,212,t9hDk3BdcS,False,True,False,True,False
236,110,iVWrC4A1Be,1,245,104,9QWmGs76XA,False,True,True,True,False
261,127,8wjLT1tAq3,1,256,93,0EaoMUyvqg,False,True,True,True,False
101,176,9IHG2En4gT,0,82,194,x9lh5yKQDM,False,False,False,True,False
279,283,0dGD4LF52I,0,229,176,t8Te5IB7oQ,False,True,False,True,False
186,106,ea5ZvswIEA,1,164,292,aF6OrgoG0p,False,False,True,True,False
174,230,SNBVuM3eOh,0,143,230,G1eNcPsxIR,False,False,False,True,False
207,110,3Y2wkzX6PJ,0,262,261,LW7Z0b3x1p,False,True,False,True,False
61,30,ltPH2IzWZ1,1,125,257,D0aGk1yptw,False,False,True,True,False
17,204,NOMbwngCP4,0,278,243,O9CbyxIDJk,False,True,False,True,False
77,96,qIn4F7DpWf,0,16,17,30N8lwnZER,False,False,False,True,False
54,281,fC0RLTOozN,1,216,147,kgt7ExITLU,False,True,True,True,False
156,39,PchUbgudw2,0,74,17,56ZCyJH2hj,False,False,False,True,False
206,128,IBqQykCdiR,1,243,26,wUj1T4sORy,False,True,True,True,False
271,126,dkt0by4iZU,0,58,151,VN4r9Ro7KO,False,False,False,True,False
44,222,B0KUvQwYuq,1,85,155,4xolbgFLqu,False,False,True,True,False
2,107,581JMtpZX2,0,27,61,vX5KEbu8kZ,False,False,False,True,False
145,282,BQIrpDMaPg,1,292,87,59RecgToNH,False,True,True,True,False
160,197,bGp8j9ORBA,0,139,11,AaExrv4mq5,False,False,False,True,False
120,142,Bk2jXq5HTD,1,4,57,JCB8bRWYGa,False,False,True,True,False
124,60,EJYqoTCijI,0,62,8,8qTinhpL9N,False,False,False,True,False
256,83,rq4N9ZMvfY,0,273,11,uRh214ECj3,False,True,False,True,False
127,266,jXowa2tSMn,1,55,174,9JWZvQXDid,False,False,True,True,False
286,257,YZfyK82NVe,0,247,98,Vz9mIgoX4c,False,True,False,True,False
79,60,rdXYzeI0tx,1,215,86,6dLjovTlWV,False,True,True,True,False
50,234,CYsmPSf5ih,0,214,8,4aHuk1IjcM,False,True,False,True,False
56,288,TgI1xzN86h,1,14,109,ELsoU2K8nV,False,False,True,True,False
210,175,XFPs04mLGa,1,149,125,s1VGYnj6vB,False,False,True,True,False
264,194,mhUeJOjLl1,1,171,108,j9XEZSufzB,False,False,True,True,False
66,158,JFtkRKcLgq,0,53,208,nmeCVMO5Lg,False,False,False,True,False
175,172,m79iSCKVOn,1,202,107,NEkCbg0Gj5,False,True,True,True,False
287,129,981oYR63DW,1,212,65,3fKcN8xzki,False,True,True,True,False
131,131,RiAzP5KduL,0,286,208,Kg2WbAfGpP,False,True,False,True,False
126,187,iN5bPxZYWB,1,73,37,sMYHGRVuwz,False,False,True,True,False
106,92,lR4z0UgHqA,1,111,109,6EJyPv5eDq,False,False,True,True,False
17,94,nLxpOjA6Wy,0,172,245,UyB1fMzsPN,False,False,False,True,False
161,80,lHU90endIL,1,116,294,RNmW02f9aF,False,False,True,True,False
198,119,t3WpLBr2bw,0,297,4,et9aMZxluD,False,True,False,True,False
186,207,6WAvGKFec5,1,210,201,hFJmaLlieg,False,True,True,True,False
279,41,HfF62suI9J,0,16,254,tio2A80n6z,True,False,False,True,False
79,263,B8yfP1Lg2K,1,4,185,FLeBoh5zgT,False,False,True,True,False
68,201,Tf0WXogCw9,0,23,14,13l9w0jROQ,False,False,False,True,False
80,296,csyvT2PWfn,0,49,276,jJKI1ZCeX4,False,False,False,True,False
253,131,AHWPDZIvCT,0,117,50,CqHAhYmtLo,False,False,False,True,False
86,23,Hw4xyEPqav,0,226,228,ZTWzjlibYP,False,True,False,True,False
192,60,GerWAlZEmo,0,15,135,YyeWv4Cz7R,False,False,False,True,False
203,61,DuWyBJ4zAg,1,40,30,ePDCuFyAZp,False,False,True,True,False
99,283,Z13GxRdXrL,0,23,87,2oH6ZdpwsM,False,False,False,True,False
184,100,Hk2BfFrhVZ,1,27,86,ckR9jJ1zfU,False,False,True,True,False
229,248,OB5NFGi6ZY,0,58,172,xQ4sHVpLXe,False,False,False,True,False
